연번,군구명,병원종별,의료기관명,소재지,병실수,병상수,진료과목,
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74,266,"내과,외과,정형외과,신경외과,흉부외과,마취통증의학과,산부인과,소아청소년과,안과,비뇨의학과,영상의학과,진단검사의학과, 가정의학과,응급의학과,치과교정과",
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24,98,가정의학과 영상의학과 비뇨의학과 소아청소년과 정형외과 외과 내과 산부인과 영상의학과 마취통증의학과 진단검사의학과 응급의학과 피부/비뇨기과 흉부외과 안과 가정의학과,
3,강화군,정신병원,해주병원,인천광역시 강화군 하점면 창후로 286,33,180,정신건강의학과,
4,강화군,정신병원,예담병원,인천광역시 강화군 내가면 해안서로 964,16,68,정신건강의학과,
5,강화군,요양병원,의료법인우진의료재단한길병원,인천광역시 강화군 송해면 강화대로 902,12,71,이비인후과 내과 외과 비뇨의학과 신경과 가정의학과,
6,강화군,요양병원,강화희망요양병원,인천광역시 강화군 송해면 강화대로 743,17,90,가정의학과 재활의학과 피부과 외과 신경과 내과,
7,강화군,요양병원,올바른 요양병원,인천광역시 강화군 강화읍 강화대로 393번길 5,20,104,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방내과 응급의학과 가정의학과 재활의학과 신경외과 정형외과 외과 신경과 내과,
8,강화군,요양병원,강화요양병원,인천광역시 강화군 강화동로 181,32,110,내과 신경과 외과 정형외과 흉부외과 성형외과 소아청소년과 안과 이비인후과 피부과 재활의학과  ,
9,강화군,치과의원,강화본치과의원,"인천광역시 강화군 강화읍 중앙로 9, 부경빌딩 3층",0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
10,강화군,치과의원,강화 탑치과의원,"인천광역시 강화군 강화읍 강화대로 403, 2층",0,0,치과,
11,강화군,치과의원,서울경로치과의원,인천광역시 강화군 강화읍 강화대로 361,0,0,치과,
12,강화군,치과의원,건플란트치과의원,인천광역시 강화군 길상면 온수길 23,0,0,치과,
13,강화군,치과의원,서울미소치과의원,인천광역시 강화군 강화읍 강화대로 398,0,0,치과,
14,강화군,치과의원,온수플러스치과의원,인천광역시 강화군 길상면 길상로 317,0,0,치과,
15,강화군,치과의원,강화치과의원,"인천광역시 강화군 강화읍 강화대로404번길 5, 6층",0,0,치과,
16,강화군,치과의원,이편한치과의원,"인천광역시 강화군 강화읍 강화대로 395, 3층",0,0,치과,
17,강화군,치과의원,이사랑치과의원,인천광역시 강화군 강화읍 중앙로 31 (금강빌딩),0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
18,강화군,치과의원,장치과의원,인천광역시 강화군 강화읍 강화대로 400,0,0,치과,
19,강화군,치과의원,고려치과의원,인천광역시 강화군 강화읍 동문안길 9-1,0,0,치과,
20,강화군,치과의원,서울치과의원,"인천광역시 강화군 강화읍 중앙로 43, 2층 204호",0,0,치과,
21,강화군,치과의원,연세치과의원,인천광역시 강화군 강화읍 중앙로 23,0,0,치과,
22,강화군,치과의원,오치과의원,인천광역시 강화군 강화읍 강화대로404번길 4,0,0,치과,
23,강화군,치과의원,마리치과의원,인천광역시 강화군 강화읍 강화대로 410,0,0,치과,
